...1,xponent_id,sample_type,well_id,well_row,well_column,assay,dilution_factor,conc_units,standard_expected_concentration,bead_count,median_mfi,avg_median_mfi,pct_cv_median_mfi,net_mfi,avg_net_mfi,calc_conc,avg_conc,conc_pct_cv,pct_recovery,Control1_control_expected_concentration,Control2_control_expected_concentration,Control1_control_range_low,Control2_control_range_low,Control1_control_range_high,Control2_control_range_high,calc_conc_truncated,avg_conc_truncated,calc_conc_standards_min,calc_conc_standards_max,calc_conc_min_truncated,calc_conc_max_truncated,avg_conc_standards_min,avg_conc_standards_max,avg_conc_min_truncated,avg_conc_max_truncated,conc_pct_cv_truncated,kit_lot,instrument_serial,computer_name,run_date,file_name,xponent_comments,FN_comments,panel
4273,Standard2,standard,C2,C,2,FLT3LG,NA,pg/mL,1355,53,21893,25757.666666666668,18.86035222287869,21841.0833333333,25705.75,1261.30312847467,1460.43701452536,17.059068959506,93.09,NA,NA,NA,NA,NA,NA,1261.30312847467,1460.43701452536,4.46357245460317,7605.7011040284,FALSE,FALSE,5.35668030250883,5774.87873637517,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,NA,;;;;;;,panel_1
4274,Standard2,standard,C9,C,9,FLT3LG,NA,pg/mL,1355,48,33993.5,25757.666666666668,18.86035222287869,33941.5833333333,25705.75,1881.4577706157,1460.43701452536,17.059068959506,138.85,NA,NA,NA,NA,NA,NA,1881.4577706157,1460.43701452536,4.46357245460317,7605.7011040284,FALSE,FALSE,5.35668030250883,5774.87873637517,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,NA,;;;;;;,panel_1
4275,Standard2,standard,C10,C,10,FLT3LG,NA,pg/mL,1355,56,24500.5,25757.666666666668,18.86035222287869,24448.5833333333,25705.75,1397.17203109163,1460.43701452536,17.059068959506,103.11,NA,NA,NA,NA,NA,NA,1397.17203109163,1460.43701452536,4.46357245460317,7605.7011040284,FALSE,FALSE,5.35668030250883,5774.87873637517,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,NA,;;;;;;,panel_1
4276,Standard2,standard,C17,C,17,FLT3LG,NA,pg/mL,1355,40,21974,25757.666666666668,18.86035222287869,21922.0833333333,25705.75,1265.54572977346,1460.43701452536,17.059068959506,93.4,NA,NA,NA,NA,NA,NA,1265.54572977346,1460.43701452536,4.46357245460317,7605.7011040284,FALSE,FALSE,5.35668030250883,5774.87873637517,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,NA,;;;;;;,panel_1
4277,Standard2,standard,C18,C,18,FLT3LG,NA,pg/mL,1355,63,23001,25757.666666666668,18.86035222287869,22949.0833333333,25705.75,1319.21279401274,1460.43701452536,17.059068959506,97.36,NA,NA,NA,NA,NA,NA,1319.21279401274,1460.43701452536,4.46357245460317,7605.7011040284,FALSE,FALSE,5.35668030250883,5774.87873637517,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,NA,;;;;;;,panel_1
4284,Standard2,standard,C1,C,1,IL1R2,NA,pg/mL,7222.5,38,15573.5,15301.5,1.560075108366893,15515.1666666667,15243.1666666667,7459.81559647407,7277.33405964613,2.19351821284982,103.29,NA,NA,NA,NA,NA,NA,7459.81559647407,7277.33405964613,24.0906038491738,32700.783965876,FALSE,FALSE,28.6273833056833,29018.2543536449,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,NA,;;;;;;,panel_1
4285,Standard2,standard,C2,C,2,IL1R2,NA,pg/mL,7222.5,52,14957,15301.5,1.560075108366893,14898.6666666667,15243.1666666667,7048.2126068661,7277.33405964613,2.19351821284982,97.59,NA,NA,NA,NA,NA,NA,7048.2126068661,7277.33405964613,24.0906038491738,32700.783965876,FALSE,FALSE,28.6273833056833,29018.2543536449,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,NA,;;;;;;,panel_1
4286,Standard2,standard,C9,C,9,IL1R2,NA,pg/mL,7222.5,51,15566,15301.5,1.560075108366893,15507.6666666667,15243.1666666667,7454.72017772534,7277.33405964613,2.19351821284982,103.22,NA,NA,NA,NA,NA,NA,7454.72017772534,7277.33405964613,24.0906038491738,32700.783965876,FALSE,FALSE,28.6273833056833,29018.2543536449,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,NA,;;;;;;,panel_1
4287,Standard2,standard,C10,C,10,IL1R2,NA,pg/mL,7222.5,46,15237,15301.5,1.560075108366893,15178.6666666667,15243.1666666667,7233.35516634433,7277.33405964613,2.19351821284982,100.15,NA,NA,NA,NA,NA,NA,7233.35516634433,7277.33405964613,24.0906038491738,32700.783965876,FALSE,FALSE,28.6273833056833,29018.2543536449,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,NA,;;;;;;,panel_1
4288,Standard2,standard,C17,C,17,IL1R2,NA,pg/mL,7222.5,36,15308.5,15301.5,1.560075108366893,15250.1666666667,15243.1666666667,7281.10817408141,7277.33405964613,2.19351821284982,100.81,NA,NA,NA,NA,NA,NA,7281.10817408141,7277.33405964613,24.0906038491738,32700.783965876,FALSE,FALSE,28.6273833056833,29018.2543536449,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,NA,;;;;;;,panel_1
